identifier,neutral,edition,G1,ajout,casAbs,etym.,inv.,om.,om. casAbs,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,162,101,81,17,0,0,3,0,0,0,3,57,0,1,263,20
2.1.1,329,159,112,11,0,0,11,0,0,0,6,82,2,0,488,47
3.1.1,197,82,86,7,0,0,14,0,0,0,0,65,0,0,279,-4
4.1.1,215,38,39,6,0,0,2,0,0,0,0,29,0,2,253,-1
5.1.1,264,58,55,4,0,0,5,0,0,0,0,46,0,0,322,3
6.1.1,193,36,39,4,0,0,5,0,0,0,0,29,0,1,229,-3
7.1.1,214,65,65,9,0,1,8,0,0,0,0,45,0,2,279,0
8.1.1,236,77,43,2,0,0,2,0,0,0,1,36,0,2,313,34
9.1.1,248,95,85,3,0,1,21,0,0,0,0,60,0,0,343,10
10.1.1,159,48,36,4,0,0,5,0,0,0,0,27,0,0,207,12
11.1.1,323,119,79,12,0,0,7,0,0,0,6,54,0,0,442,40
12.1.1,266,166,119,4,0,1,19,0,0,0,0,94,0,1,432,47
12.2.1,86,29,17,0,0,0,0,0,0,0,2,15,0,0,115,12
13.1.1,143,61,39,9,0,0,6,0,0,2,0,22,0,0,204,22
14.1.1,193,88,55,10,0,2,8,0,0,0,0,35,0,0,281,33
15.1.1,268,79,71,0,0,0,9,0,0,0,0,62,0,0,347,8
16.1.1,295,141,106,6,0,0,30,0,0,0,2,55,9,4,436,35
16.2.1,278,135,135,38,0,0,16,0,0,2,1,78,0,0,413,0
17.1.1,157,61,54,12,0,0,9,0,0,0,0,25,7,1,218,7
18.1.1,230,90,58,0,0,1,10,0,0,0,0,44,0,3,320,32
19.1.1,119,46,53,4,0,0,8,0,0,0,2,38,0,1,165,-7
20.1.1,151,81,89,14,0,0,17,0,0,0,0,54,0,4,232,-8
21.1.1,306,171,149,0,3,2,34,0,0,7,1,98,3,1,477,22
22.1.1,224,88,68,3,0,0,10,0,0,0,0,55,0,0,312,20
23.1.1,213,131,122,39,0,1,6,0,0,0,6,69,0,1,344,9
24.1.1,138,55,47,7,0,1,7,0,0,0,0,32,0,0,193,8
25.1.1,175,72,66,4,0,2,13,0,0,0,5,36,6,0,247,6
26.1.1,168,60,63,6,0,1,5,0,0,0,0,49,0,2,228,-3
27.1.1,92,33,31,6,0,0,5,0,0,3,2,15,0,0,125,2
28.1.1,109,37,48,9,0,1,0,0,0,0,0,38,0,0,146,-11
29.1.1,194,75,72,20,0,0,0,0,0,1,0,44,0,7,269,3
29.2.1,367,187,147,36,0,0,30,0,0,1,1,79,0,0,554,40
29.3.1,82,43,36,11,0,0,10,0,0,0,0,15,0,0,125,7
30.1.1,217,137,132,47,3,0,7,0,0,0,0,75,0,0,354,5
30.2.1,390,156,129,34,0,3,20,0,0,0,0,71,1,0,546,27
31.1.1,207,97,114,11,0,0,10,0,0,0,0,93,0,0,304,-17
31.2.1,121,21,21,11,0,0,0,0,0,0,0,10,0,0,142,0
31.3.1,371,154,126,13,0,0,15,0,0,1,0,97,0,0,525,28
32.1.1,325,106,94,23,0,0,12,0,0,0,5,54,0,0,431,12
32.2.1,163,95,66,9,0,0,17,0,0,0,0,39,0,1,258,29
33.1.1,262,119,112,39,0,0,0,0,0,0,19,53,0,1,381,7
33.2.1,137,87,61,2,0,0,8,0,0,0,5,38,6,2,224,26
34.1.1,220,150,123,36,0,0,5,0,0,0,17,60,1,4,370,27
35.1.1,140,76,68,35,0,0,2,0,0,0,0,31,0,0,216,8
35.2.1,226,91,93,6,3,1,21,0,0,5,1,56,0,0,317,-2
36.1.1,162,96,87,12,0,0,12,0,0,0,2,61,0,0,258,9
37.1.1,171,68,47,6,0,0,23,0,0,0,3,12,3,0,239,21
38.1.1,218,111,86,2,0,1,33,0,0,1,5,43,0,1,329,25
39.1.1,194,115,66,10,0,0,12,0,0,0,4,39,0,1,309,49
40.1.1,84,30,25,3,0,0,0,0,0,0,0,21,0,1,114,5
40.2.1,246,124,103,55,0,0,11,0,0,0,3,34,0,0,370,21
41.1.1,62,27,17,4,0,0,9,0,0,0,0,4,0,0,89,10
42.1.1,188,92,75,14,0,0,0,0,0,0,10,47,0,4,280,17
43.1.1,67,54,39,6,0,0,4,0,0,0,4,22,3,0,121,15
44.1.1,269,125,114,14,0,0,9,0,0,2,0,87,0,2,394,11
44.2.1,200,90,64,11,0,0,0,0,0,0,0,53,0,0,290,26
44.3.1,76,35,40,25,0,0,7,0,0,0,0,7,0,1,111,-5
