identifier,neutral,edition,M1,ajout,casAbs,casAbs om.,etym.,inv.,om.,om. casAbs,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,197,66,76,9,0,0,0,3,0,0,0,6,57,1,0,263,-10
2.1.1,377,111,103,18,0,0,2,27,0,0,0,1,55,0,0,488,8
3.1.1,209,70,78,11,0,0,2,4,0,0,0,1,60,0,0,279,-8
4.1.1,215,38,35,0,0,0,0,2,0,0,2,0,30,0,1,253,3
5.1.1,268,54,54,0,0,0,0,12,0,0,0,0,42,0,0,322,0
6.1.1,175,54,90,34,0,0,1,5,0,0,0,0,50,0,0,229,-36
7.1.1,227,52,65,9,0,0,0,17,0,0,0,0,39,0,0,279,-13
8.1.1,256,56,65,15,0,0,0,14,0,0,0,1,35,0,0,312,-9
9.1.1,269,74,72,3,0,0,0,12,0,0,0,0,57,0,0,343,2
10.1.1,158,49,51,11,0,0,0,0,0,0,0,0,40,0,0,207,-2
11.1.1,340,102,91,2,0,0,0,21,0,0,0,0,61,7,0,442,11
12.1.1,328,109,112,10,0,0,1,20,0,0,0,0,80,0,1,437,-3
12.2.1,100,15,17,5,0,0,0,0,0,0,0,1,11,0,0,115,-2
13.1.1,158,46,40,2,0,0,0,11,0,0,2,1,24,0,0,204,6
14.1.1,227,54,57,14,0,0,1,3,0,0,0,0,39,0,0,281,-3
15.1.1,272,75,67,4,0,0,0,12,0,0,0,0,51,0,0,347,8
16.1.1,287,149,132,17,0,0,0,21,0,0,0,18,70,4,2,436,17
16.2.1,304,109,113,27,0,0,0,14,0,0,0,5,67,0,0,413,-4
17.1.1,182,36,35,0,0,0,0,9,0,0,0,0,26,0,0,218,1
18.1.1,241,79,77,0,0,0,1,21,0,0,0,0,48,2,5,320,2
19.1.1,115,50,60,10,0,0,0,9,0,0,0,0,41,0,0,165,-10
20.1.1,167,65,70,3,0,0,0,11,0,0,0,0,54,0,2,232,-5
21.1.1,360,117,104,14,0,0,1,22,0,0,2,2,62,1,0,477,13
22.1.1,248,64,63,19,0,0,0,13,0,0,0,0,31,0,0,312,1
23.1.1,260,84,81,29,0,0,1,12,0,0,0,1,38,0,0,344,3
24.1.1,144,49,53,18,0,0,1,12,0,0,2,0,20,0,0,193,-4
25.1.1,186,61,60,9,0,0,2,14,0,0,0,0,35,0,0,247,1
26.1.1,176,52,50,2,0,0,0,0,0,0,2,2,44,0,0,228,2
27.1.1,93,32,30,3,0,0,0,6,0,0,0,2,19,0,0,125,2
28.1.1,114,32,36,4,0,0,1,10,0,0,0,0,21,0,0,146,-4
29.1.1,210,59,60,13,0,0,0,0,0,0,0,0,45,0,2,269,-1
29.2.1,422,157,186,45,0,0,0,22,0,0,3,0,116,0,0,579,-29
29.3.1,104,21,23,6,0,0,0,0,0,0,1,0,9,7,0,125,-2
30.1.1,254,100,115,36,0,0,0,7,0,0,0,12,58,0,2,354,-15
30.2.1,424,122,125,25,0,0,5,15,0,0,1,4,72,1,2,546,-3
31.1.1,239,65,65,0,1,0,0,5,0,0,0,0,58,0,1,304,0
31.2.1,133,9,10,0,0,0,0,0,0,0,0,0,8,2,0,142,-1
31.3.1,428,97,103,22,0,0,0,10,0,0,0,0,68,0,3,525,-6
32.1.1,377,54,71,18,0,0,0,31,0,0,0,0,22,0,0,431,-17
32.2.1,209,49,38,8,0,0,0,10,0,0,0,0,18,1,1,258,11
33.1.1,292,89,107,37,0,0,0,9,0,0,0,3,55,2,1,381,-18
33.2.1,194,30,36,10,0,0,0,2,0,0,0,2,20,1,1,224,-6
34.1.1,274,95,98,2,0,0,0,28,0,0,0,15,53,0,0,369,-3
35.1.1,162,54,61,25,0,0,0,23,0,0,0,0,13,0,0,216,-7
35.2.1,261,56,52,7,3,0,0,9,0,0,5,0,28,0,0,317,4
36.1.1,214,44,49,22,0,0,0,2,0,0,0,0,24,0,1,258,-5
37.1.1,197,42,39,7,0,0,0,2,0,0,0,0,20,0,10,239,3
38.1.1,280,49,47,12,0,0,1,13,0,0,0,2,19,0,0,329,2
39.1.1,220,51,51,13,0,0,0,3,0,0,0,4,31,0,0,271,0
40.1.1,80,34,39,2,0,0,0,0,0,0,0,0,34,0,3,114,-5
40.2.1,296,74,89,39,0,0,0,18,0,0,3,0,27,0,2,370,-15
41.1.1,85,4,2,0,0,0,0,0,0,0,0,0,1,1,0,89,2
42.1.1,231,49,58,16,0,0,0,9,0,0,0,0,27,0,6,280,-9
43.1.1,79,42,34,0,0,0,0,7,0,0,0,0,26,1,0,121,8
44.1.1,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,394,394
44.2.1,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,290,290
44.3.1,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111
