identifier,neutral,edition,E2,ajout,casAbs,casAbs om.,erreur,etym.,inv.,om.,om. casAbs,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,230,33,48,15,0,0,0,0,5,0,0,1,0,27,0,0,263,-15
2.1.1,417,71,53,0,0,0,1,2,23,0,0,1,0,24,2,0,488,18
3.1.1,266,13,13,3,0,0,0,1,0,0,0,0,0,8,0,1,279,0
4.1.1,238,15,17,9,0,0,0,0,0,0,0,2,2,3,0,1,253,-2
5.1.1,293,29,23,5,0,0,0,0,8,0,0,0,0,10,0,0,322,6
6.1.1,207,22,18,2,0,0,0,0,8,0,0,0,0,4,0,4,229,4
7.1.1,244,35,10,0,0,0,0,0,0,0,0,0,0,10,0,0,279,25
8.1.1,287,25,30,14,0,0,0,0,5,0,0,0,0,10,0,1,312,-5
9.1.1,321,22,17,0,2,0,0,0,3,0,0,0,0,12,0,0,343,5
10.1.1,182,25,22,9,0,0,0,0,0,0,0,0,0,13,0,0,207,3
11.1.1,413,29,22,5,0,0,0,0,2,0,0,2,0,10,2,1,442,7
12.1.1,392,132,28,2,0,0,0,0,11,0,0,2,0,13,0,0,524,104
12.2.1,107,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,115,7
13.1.1,192,12,7,0,0,0,0,0,2,0,0,0,0,5,0,0,204,5
14.1.1,253,28,23,3,0,0,0,1,10,0,0,0,0,7,2,0,281,5
15.1.1,303,44,20,0,0,0,0,0,4,0,0,1,0,15,0,0,347,24
16.1.1,394,42,42,6,0,0,0,0,11,0,0,0,0,24,0,1,436,0
16.2.1,377,36,45,12,0,0,0,0,4,0,0,0,0,29,0,0,413,-9
17.1.1,197,22,17,0,0,0,0,0,11,0,0,0,0,6,0,0,219,5
18.1.1,294,26,23,2,0,0,0,0,6,0,0,0,0,12,1,2,320,3
19.1.1,149,16,17,7,0,0,0,0,0,0,0,0,0,10,0,0,165,-1
20.1.1,202,30,26,0,0,0,0,0,10,0,0,0,0,16,0,0,232,4
21.1.1,445,32,32,6,0,0,0,0,14,0,0,0,0,12,0,0,477,0
22.1.1,288,24,12,2,0,0,0,0,0,0,0,0,0,10,0,0,312,12
23.1.1,329,15,16,2,0,0,0,0,0,0,0,0,0,14,0,0,344,-1
24.1.1,171,22,16,2,0,0,0,0,9,0,0,0,0,5,0,0,193,6
25.1.1,231,16,10,0,0,0,0,0,3,0,0,0,0,7,0,0,247,6
26.1.1,211,17,18,6,0,0,0,0,0,0,0,0,0,12,0,0,228,-1
27.1.1,118,7,6,0,0,0,0,0,0,0,0,0,0,5,0,1,125,1
28.1.1,136,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,146,0
29.1.1,246,23,25,5,0,0,0,0,8,0,0,1,0,10,0,1,269,-2
29.2.1,506,171,60,9,0,0,2,0,0,0,0,2,0,47,0,0,677,111
29.3.1,121,4,8,7,0,0,0,0,0,0,0,0,0,1,0,0,125,-4
30.1.1,338,16,17,9,0,0,0,0,0,0,0,0,0,8,0,0,354,-1
30.2.1,518,29,24,8,0,0,0,1,0,0,0,0,0,14,0,1,547,5
31.1.1,288,16,17,0,0,0,0,0,0,0,0,0,0,16,0,1,304,-1
31.2.1,132,10,12,2,0,0,0,0,9,0,0,0,0,1,0,0,142,-2
31.3.1,482,43,42,9,0,0,0,0,10,0,0,0,0,23,0,0,525,1
32.1.1,403,28,25,6,0,0,1,0,8,0,0,0,0,10,0,0,431,3
32.2.1,233,25,25,6,0,0,0,0,3,0,0,2,0,13,0,1,258,0
33.1.1,348,32,40,9,0,0,0,0,5,0,0,0,0,23,0,3,380,-8
33.2.1,204,20,17,0,0,0,0,0,6,0,0,0,0,10,1,0,224,3
34.1.1,326,44,35,10,0,0,0,0,0,0,0,0,0,24,1,0,370,9
35.1.1,201,15,19,4,0,0,0,0,5,0,0,1,0,8,0,1,216,-4
35.2.1,285,32,31,2,3,0,0,0,5,0,0,5,0,16,0,0,317,1
36.1.1,232,26,28,9,0,0,0,0,7,0,0,0,0,11,0,1,258,-2
37.1.1,220,19,19,0,0,0,0,0,0,0,0,0,0,17,0,2,239,0
38.1.1,308,21,12,0,0,0,0,1,3,0,0,0,0,8,0,0,329,9
39.1.1,252,58,14,0,0,0,0,0,0,0,0,0,0,14,0,0,310,44
40.1.1,107,7,6,2,0,0,0,0,0,0,0,0,0,4,0,0,114,1
40.2.1,339,31,30,9,0,0,0,0,13,0,0,0,0,7,0,1,370,1
41.1.1,85,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,89,2
42.1.1,265,15,15,0,0,0,0,0,5,0,0,0,0,7,0,3,280,0
43.1.1,115,6,5,2,0,0,0,0,2,0,0,0,0,1,0,0,121,1
44.1.1,353,41,47,14,3,0,0,0,2,0,0,0,0,26,2,0,394,-6
44.2.1,257,33,19,9,0,0,2,0,3,0,0,1,0,4,0,0,290,14
44.3.1,102,9,12,4,0,0,0,0,4,0,0,0,0,4,0,0,111,-3
NB Mot Ed,16789,,,,,,,,,,,,,,,,,
NB Mot E2,16401,,,,,,,,,,,,,,,,,
Diff en pourcentage,"97,6889630114956",,,,,,,,,,,,,,,,,
